S.No.,Symbol,Buy / Sell,Quantity,Active
1,AMBUJACEM,buy,5,Yes
2,ASIANPAINT,buy,5,Yes
3,AXISBANK,buy,5,Yes
4,BERGEPAINT,buy,5,Yes
5,BHARTIARTL,buy,5,Yes
6,BPCL,buy,5,Yes
7,BRITANNIA,buy,5,Yes
8,COALINDIA,buy,5,Yes
9,IOC,buy,5,Yes
10,NTPC,buy,5,Yes
11,ONGC,buy,5,Yes
12,POWERGRID,buy,5,Yes
13,ITC,buy,5,Yes
14,TATAMOTORS,buy,5,Yes
15,SBIN,buy,5,Yes
16,HINDALCO,buy,5,Yes
17,WIPRO,buy,5,Yes
18,ICICIBANK,buy,5,Yes
19,JSWSTEEL,buy,5,Yes
20,UPL,buy,5,Yes
21,SUNPHARMA,buy,5,Yes
22,TATACONSUM,buy,5,Yes
23,HDFCLIFE,buy,5,Yes
24,M&M,buy,5,Yes
25,ADANIPORTS,buy,5,Yes
26,CIPLA,buy,5,Yes
27,TATASTEEL,buy,5,Yes
28,SBILIFE,buy,5,Yes
29,INDUSINDBK,buy,5,Yes
30,HCLTECH,buy,5,Yes
31,TECHM,buy,5,Yes
32,LT,buy,5,Yes
33,HDFCBANK,buy,5,Yes
34,GRASIM,buy,5,Yes
35,INFY,buy,5,Yes
36,TITAN,buy,5,Yes
37,KOTAKBANK,buy,5,Yes
38,RELIANCE,buy,5,Yes
39,HINDUNILVR,buy,5,Yes
40,HDFC,buy,5,Yes
41,EICHERMOT,buy,5,Yes
42,HEROMOTOCO,buy,5,Yes
43,TCS,buy,5,Yes
